county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
Mariposa,2022/23,NSMHS,1449.0,-1.53
Mariposa,2022/23,SMHS,926.0,-1.53
Mendocino,2019/20,NSMHS,13168.0,
Mendocino,2019/20,SMHS,5074.0,
Mendocino,2020/21,NSMHS,12133.0,-6.15
Mendocino,2020/21,SMHS,4987.0,-6.15
Mendocino,2021/22,NSMHS,12741.0,3.87
Mendocino,2021/22,SMHS,5042.0,3.87
Mendocino,2022/23,NSMHS,13361.0,6.3
Mendocino,2022/23,SMHS,5543.0,6.3
Merced,2019/20,NSMHS,20435.0,
Merced,2019/20,SMHS,8651.0,
Merced,2020/21,NSMHS,21947.0,5.52
Merced,2020/21,SMHS,8744.0,5.52
Merced,2021/22,NSMHS,22436.0,2.72
Merced,2021/22,SMHS,9090.0,2.72
Merced,2022/23,NSMHS,24734.0,10.55
